source,interaction,target
RUNX1,1,CSF2RA
OTUB1,-1,RNF168
GATA1,-1,SPI1
STAT3,1,SPI1
CEBPA,1,SPI1
CSF3,1,CSF3R
SPI1,1,CSF3
SPI1,1,CSF2
CSF2,1,CSF2RA
CEBPA,1,CSF1R
CEBPA,1,CSF3R
ATM,1,EIF4EBP1
ATM,1,RPA2
ATR,1,MCM2
ATM,1,MCM3
TERF2,1,WRN
EEF1E1,1,ATR
EEF1E1,1,ATM
TIPRL,-1,PPP2CA
CSNK2A1_CSNK2B,1,XRCC1
HUS1_RAD1_RAD9A,1,TOPBP1
PARP1,1,MRE11
CSNK2A1_CSNK2B,1,CBX1
ATR,1,SMC1A
NSMCE2,1,TSNAX
PRKDC,1,VCP
PPM1D,-1,UNG
PPM1D,1,TP53
NCL,1,RPA1
NSMCE2,1,SMC6
HGF,1,MET
MET,1,SHC1
H3C13,1,TP53BP1
ATM,1,AKT1
H3-4,1,TP53BP1
PPM1D,-1,CHEK1
NFYA_NFYB_NFYC,1,CDCA3
CDCA3,-1,WEE1
USP1,-1,FANCI
DUSP1,-1,FANCI
BRCA1,1,GADD45A
GADD45A,1,MAP2K4
RAD52,1,RAD51
FANCA_FANCB_FANCC_FANCE_FANCF_FANCG_FANCL_FANCM,1,FANCD2
FANCA_FANCB_FANCC_FANCE_FANCF_FANCG_FANCL_FANCM,1,FANCI
AKT1,1,MDM2
BCL2,-1,XRCC6
DYNLL2,-1,BMF
TP53,1,BTG2
MYC,1,BCL2L11
BTG2,-1,CCND1
AKT1,-1,GSK3B
GSK3B,1,CYCS
GSK3B,-1,VDAC1
YY1,-1,FAS
TGFB1,-1,NOS2
MAPK1,-1,CASP9
AKT1,-1,RAF1
EGFR,1,MAP2K1
PSIP1,1,CRYAB
PSIP1,1,HSPB1
JUNB,-1,BCL2
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,EEF2
PSIP1,1,ADH4
PSIP1,1,PRDX6
PSIP1,1,ALDH1A2
JUNB,1,EGFR
PSIP1,1,ADH1A
PSIP1,1,GCLC
TNF,1,PSIP1
JUNB,-1,BCL2L1
RARA,1,CASP9
EGR1,1,ID3
MYC,1,TERT
ID3,-1,TCF3
TRIM28,-1,CDKN1A
KAT5,1,PRKDC
BAD,1,CYCS
BAK1,1,CYCS
BAK1,1,DIABLO
BAX,1,HTRA2
BMF,-1,BCL2L2
TRIM28,-1,GADD45A
TRIM28,-1,BAX
TRIM28,-1,BBC3
TRIM28,-1,BBC3
TRIM28,-1,PMAIP1
IKBKE,1,IRF3
CSNK2A1_CSNK2B,-1,H3-4
RPA1,1,ATRIP
CASP3,-1,PSIP1
KEAP1,-1,NFE2L2
H2AX_MDC1,1,BLM
CASP3,-1,PARP1
STAT3,1,BCL2L1
STAT3,1,BCL2
MAPK1,1,STAT3
STAT3,1,RELA
BAX,1,AIFM1
BAX,1,CYCS
BIRC5,-1,CASP3
WRN,1,RAD52
BIRC5,-1,CASP7
XRCC5_XRCC6,1,WRN
PML,1,TOPBP1
ATR_ATRIP,1,RAD17
CDKN2A_MDM2,1,TP53
CDKN2A_MDM2,1,TP53
RB1,-1,E2F3
RB1,-1,E2F2
BLM,1,TP53
PBX1,1,NANOG
PPARG,1,CDKN1A
PPARG,1,GSTA2
TNF,1,TNFRSF1B
BAG4,-1,TNFRSF1A
TNFRSF1B,1,TRAF2
CDK1,1,EIF4G2
EIF4G2,1,BCL2
CSNK2A1_CSNK2B,-1,WEE1
BTRC,-1,WEE1
CCNA2_CDK2,-1,BRCA2
RNF40,1,RNF20
RNF20,1,RNF40
PRKDC,1,WRN
PRKDC,1,H2AX
MAPK14,1,CSNK2A1
RNF20_RNF40_UBE2E1,1,H2BC3
NFE2L2,1,GCLM
NFE2L2,1,GCLC
PIN1,1,MAPT
CAMK2A_CAMK2B_CAMK2D_CAMK2G,1,MAP3K7
MARK1,-1,MAP2
MARK1,-1,MAP4
HSF1,1,HDAC1
HSF1,1,HDAC2
ERCC5,1,PCNA
INS,1,INSR
HNRNPK,-1,AR
HNRNPK,1,CDKN1A
HNRNPK,1,MYC
HNRNPK,-1,SPN
HNRNPK,1,EIF4E
NR0B2,1,HNF4A
HNF4A,1,TTR
ATM,1,FANCI
TNFSF9,1,TNFRSF9
EGR1,1,CDKN1A
EGR1,1,FASLG
BAG1,1,BCL2
EGR1,1,PPARG
EGR1,1,EGFR
TP53,1,FBXW7
KMT2A,1,HOXA11
KMT2A,1,HOXA10
PCNA,1,RFC1
CEBPB,1,LBP
NOTCH1_RBPJ,1,HES5
TP53,1,DUSP5
DUSP5,-1,MAPK3
INSM1,-1,INS
FBXW7,-1,CCNE1
TP53,1,PMAIP1
PAX6,1,FOXE3
PAX6,1,MAF
PAX6,1,SIX3
ATR,1,BRCA1
MEIS2,1,PAX6
ATR,1,CHEK1
HNRNPK,-1,TK1
MAF,1,CRYAA
MAF,1,CRYAB
TP53,1,DUSP1
MAP3K4,1,MAP2K6
GADD45B,1,MAP3K4
XRCC6,-1,BAX
MCPH1,1,E2F1
BAG1,-1,PPP1R15A
MAP3K4,1,MAP2K4
H1-2,1,LIG3
PARP1,1,H1-2
CSNK1A1,1,TP53
PML,1,CSNK1A1
DAPK1,1,PKM
CSNK1A1,1,TP53TG5
CDC25A,1,CDK2
MYC,1,CDC25A
XIAP,-1,CASP3
BAX,1,APAF1
BIRC3,-1,CASP3
XIAP,-1,CASP9
NFE2L2,1,OSGIN1
HUS1,1,PCNA
ATF2,1,ATF3
NFE2L2,1,HMOX1
ATR,1,RAD17
BRCA1,1,NFE2L2
MARK2,-1,MAPT
SEM1,1,BRCA2
MARK1,-1,MAPT
CSNK2A1_CSNK2B,1,MDC1
GRB2,1,RHOU
UBE2N,1,PCNA
SIRT3,1,XRCC6
NFE2L2,1,NQO1
NAB2,-1,EGR1
EGR1,1,TGFB1
EGR1,1,PDGFB
EGR1,1,PDGFA
EGR1,1,IGF2
HUS1_RAD1_RAD9A,1,POLB
AURKA,-1,TP53
TP53BP1,1,TP53
MYC,1,CCND2
RPA1,1,FEN1
E2F1,1,CHEK1
MYC,1,CDK4
RNF2,1,H2AC20
NAB1,-1,EGR1
SP1,1,IER3
TP53,-1,IER3
TP53,1,RRM2B
TP53,1,TP53INP1
PRKDC,-1,H1-2
BLM,1,FEN1
EGR1,1,TP53
PALB2,1,BRCA2
EGR1,1,PTEN
H2AX,1,MCPH1
MCPH1,1,BRCA1
WRN,1,FEN1
TP53,1,TRAF4
ATR,1,RAD1
TP53,1,BBC3
TP53,1,BBC3
CSNK2B,1,TBP
TP53,1,PIDD1
TP53,1,FAS
H4C2,1,TP53BP1
FAS,1,FADD
CD70,1,CD27
FASLG,1,FAS
TNFSF10,1,TNFRSF10D
TNFSF10,1,TNFRSF10B
TNFSF10,1,TNFRSF10A
TP53,1,DDB2
TP53,1,CCNG1
TNFRSF10B,1,FADD
TNFRSF1A,1,RIPK1
TNFRSF1A,1,TRADD
SPI1,-1,TAL1
SPI1,1,VAV1
SPI1,1,PRTN3
TRADD,1,FADD
TRADD,1,TRAF2
TNF,1,TNFRSF1A
BIRC2,-1,CASP9
TNFAIP3,-1,TRADD
HNF1B,-1,DPP4
SPIB,-1,XBP1
SPIB,-1,PRDM1
TWIST1,-1,CDKN2A
TWIST1,-1,CDKN2A
PRKAA2_PRKAB2_PRKAG2,-1,EEF2
BLVRA,1,HMOX1
SHH,-1,PTCH1
DHH,1,PTCH1
IHH,-1,PTCH1
BLVRA,1,JUND
BTRC,-1,GLI2
TAF1,1,CDKN1B
BTRC,-1,LGI3
BLVRA,1,PRKCB
BLVRA,1,JUN
INSR,1,IRS1
BLVRA,1,ATF2
HDAC1,1,GLI2
ITCH,-1,GLI1
NRF1,1,EIF2S1
NRF1,1,TFAM
AKT1,1,NRF1
ITCH_NUMB,-1,GLI1
PPARGC1A,1,GABPA
PPARGC1A,1,ESRRA
GNL3,-1,TP53
NRF1,1,EIF2S2
GZMB,1,CASP7
GZMB,-1,HAX1
RPS6KA2,-1,BAD
MTOR,1,RPS6KA2
RPS6KB1,-1,MDM2
PIM1,-1,BAD
GLI2,1,GLI1
PTCH1,-1,SMO
GLI1,1,CDK2
GLI2,1,NANOG
GLI1,1,NANOG
FOXD3,1,NANOG
POU5F1,1,NANOG
SOX2,1,NANOG
KLF4,1,NANOG
PIN1,1,NANOG
CHEK2,1,BRCA1
WRN,1,POLD4
PCNA,1,POLD4
RBBP8,1,MRE11
MRE11_NBN_RAD50,1,RBBP8
BABAM1,1,BRCA1
RPA1,1,BRIP1
CDK5,1,HTT
H2AX_MDC1,1,ACTL6A
TOPBP1,-1,E2F1
MAP2K3,1,MAPK14
DDIT3,1,JUND
DDIT3,1,JUND
KAT5_UBE2N,1,H2AX
UBE2N,1,H2AX
DDIT3,-1,BCL2
DDIT3,-1,BCL2
EYA2,1,H2AX
EYA3,1,H2AX
MAP3K5,1,MAP2K3
TDG,-1,DNMT3A
DNMT3A,1,TDG
PPP2CA,-1,ATM
UBE2I,-1,TDG
STK36,1,GLI1
STK36,1,GLI2
CSNK2A1_CSNK2B,1,APC
SUFU,1,GLI1
HSPB6,1,AKT1
GLI1,-1,JUP
HSPA1A,-1,APAF1
MAP2K1,1,MAPK6
GLI1,1,NKX2-2
BIRC5_LAMTOR5,-1,APAF1
GLI1,1,PTCH1
DUSP6,-1,MAPK6
GADD45A,-1,MAPK14
MAPK14,-1,PRKACA
BARD1,1,BRCA1
UBE2D3,1,BRCA1
H2AX_MDC1,1,BRCA1
CASP9,1,CASP3
TCL1A,1,AKT1
CASP2,1,CASP8
SUFU,1,GLI3
IGF2BP1,1,GLI1
GNRHR,1,MMP14
GNRHR,1,MMP15
GNRHR,-1,MMP9
GNRHR,1,TIMP2
GNRHR,1,SCG2
GNRHR,-1,TIMP1
GNRHR,-1,TIMP3
EIF2AK4,-1,EIF2A
EIF2AK3,-1,EIF2A
BMF,-1,BCL2L1
ERN1,1,XBP1
FUS,1,BCL2L11
EIF2AK3,-1,APAF1
SRC,1,CDC42
SRC,1,HRAS
CDC42,1,MAP3K1
MAP3K1,1,MAP2K4
MAP3K1,1,MAP2K7
BMF,-1,MCL1
BMF,-1,BCL2
TNF_TNFRSF1A,1,BID
TNFRSF1B_TNFSF10,1,BCL2L11
FUS,-1,BCL2L1
MAPK8,-1,BCL2L1
BCL2L11,1,BAX
FUS,-1,BCL2
RIPK1_TNF_TNFRSF1A_TRADD_TRAF2,1,MAP3K14
TRAF3,-1,MAP3K14
NOD1_RIPK2,1,CFAP100
NLRP1,1,CYCS
DAPK2,1,MYL1
XIAP,-1,CASP7
GNRH1,1,GNRHR
KAT5,1,ATM
ERN1,1,MAPK8
MAPK8,-1,CFLAR
EIF2A,1,ATF4
ATF4,1,FUS
GZMB,1,BAD
RPS6KB1,-1,BAD
BAD,1,GCK
TYK2,1,STAT1
EP300,1,STAT3
EP300,1,STAT5A
PIAS1,1,STAT1
PIAS3,1,STAT3
CHD3_CHD4_GATAD2A_GATAD2B_HDAC1_HDAC2_MBD2_MBD3_MTA1_MTA2_MTA3_RBBP4_RBBP7,-1,TGFB1
CASP8,-1,RIPK1
JAK1,1,STAT1
IL24,1,IFNB1
ARID4B_BRMS1_HDAC1_HDAC2_ING1_ING2_RBBP4_RBBP7_RBP1_SAP18_SAP30_SIN3A_SUDS3,-1,MYC
MAPK8,1,STAT1
MAPK9,1,STAT1
ARID4B_BRMS1_HDAC1_HDAC2_ING1_ING2_RBBP4_RBBP7_RBP1_SAP18_SAP30_SIN3A_SUDS3,-1,CCND1
CDK1,1,BAD
CASP8,1,PAK2
PIAS1,1,GLI2
PIAS1,-1,GLI3
CDKN1A,-1,CCND3
CDKN1B,-1,CCND3
XRCC5_XRCC6,1,LIG4
CCND3,1,CCNE1
FKBP6,-1,GAPDH
GSK3B,1,CEBPA
RAC1,1,STAT3
N4BP1,-1,ITCH
ITCH,-1,TP63
PIAS3,-1,MITF
FBXW7,-1,NOTCH4
FBXW7,-1,AURKA
CUL1_FBXW7_RBX1_SKP1,-1,CCNE2
XRCC5_XRCC6,1,XRCC4
MAP2K7,1,MAPK8
PRKRA,1,EIF2AK2
PIAS4,1,BRCA1
RPA1_RPA2_RPA3,1,SMARCAL1
CDK1,-1,ESPL1
CKS1B,1,CDK1
MAPK14,1,PPP1R15A
MAPK14,1,DDIT3
MAPK14,1,DDIT3
CCND2,1,CDK6
CCND3,1,CDK6
USP7,1,TP53
XAF1,-1,XIAP
RCHY1,-1,CDKN1B
CCND3,1,CDK4
CCND1,1,CDK4
TP53BP2,1,TP53
CCND2,1,CDK4
CCND1,1,CDK6
PPP1R13B,1,TP53
PIAS1,1,GLI1
HUWE1,-1,TP53
RCHY1,-1,TP53
WRAP53,1,TP53
HOXA5,1,TP53
RCHY1,-1,HDAC1
AKT1,-1,BAD
AKT1,-1,CASP9
PDK2,1,AKT1
PDK1,1,AKT1
BBC3,-1,BCL2L1
BBC3,-1,BCL2L1
BBC3,-1,BCL2
BBC3,-1,BCL2
FAAP24_FANCM,1,RPA1
CASP12,1,CASP9
MAPK8,-1,BAD
DAAM1,1,PFN1
RAC1,1,SET
AKT1,-1,PTEN
ATM,1,ATMIN
RARA,1,RARG
PTPN13,-1,FAS
DHX9,1,WRN
DAB2,-1,AXIN1
AKT1,1,CREB1
DAB2,-1,PPP1R2
MAPK8,1,BID
PMAIP1,-1,BCL2
PMAIP1,-1,BCL2L1
FANCD2,1,FAN1
SH3GLB1,1,BAX
FAAP24,1,FANCA
FAAP100,1,FANCA
SH3GLB1,1,BAK1
WNT5A,1,ROR2
CDKN2A,-1,MDM2
CDKN2A,-1,MDM2
FBXW7,-1,NCOA3
ARHGEF2,1,RHOA
CAPN1,-1,OGG1
DAAM1,1,RHOA
DVL2,1,ARRB2
ROCK1,-1,PPP1CA
HTATIP2,1,TP53
ROCK1,1,PFN2
MARK2,1,DVL3
BRCA1,-1,ABL1
ETS1,1,NMI
PRKCA,1,RAF1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,MLXIPL
PAK1,1,CTNNB1
CFLAR,-1,CASP8
CDC42,1,PAK1
RAC1,1,PAK1
ATR,1,H2AX
RARB,1,RXRG
BAX,1,DIABLO
RARG,1,HAS2
PDK1,1,PAK1
CASP12,1,CASP7
RARB,1,RARG
CDK5,-1,PAK1
SOX9,1,CEACAM1
BAX,1,CASP12
ERBB2,1,PAK1
AKT1,1,IKBKB
CDK2,-1,PAK1
MDM2,-1,TP63
CHEK2,1,E2F1
FBXW7,-1,PPARGC1A
FBXW7,-1,SERBP1
FBXW7,-1,JUN
FBXW7,-1,TP63
WWOX,-1,DVL2
RXRG,1,RARA
RARA,1,BTG2
RARA,1,IER3
ARHGEF7,1,RAC1
RARA,1,GPRC5A
ARHGEF7,1,CDC42
MMP14,-1,PTK7
APAF1,1,CASP9
FADD,1,CASP8
ATM,1,FANCD2
RIPK1,1,CHUK_IKBKB_IKBKG
FMR1,1,PAK1
SOX10,1,RET
RAC2,1,PAK3
SOX10,1,PLP1
SOX10,1,PDGFRA
SOX10,1,MPZ
SOX10,1,MITF
SOX10,1,MBP
SOX10,1,MAG
ARHGEF6,1,PAK1
SOX10,1,GJB1
PAK1,1,ARHGEF7
CIB1,1,PAK1
RILPL2,1,PAK1
PAK1IP1,-1,PAK1
SOX10,1,EDNRB
RAC3,1,PAK1
RHOQ,1,PAK1
CHP1,1,PAK1
SOX10,1,EGR2
RAC2,1,PAK1
SOX9,1,HAPLN1
SOX10,1,DCT
RHOU,1,PAK1
SOX10,1,ASCL1
PPP2CA_PPP2R5A_PTPA,-1,PAK1
GRB2,1,PAK1
NCK1,1,PAK1
PPM1E,-1,PAK1
PPM1F,-1,PAK1
SPI1,1,ELANE
CSNK1E,-1,CDC25A
NKD1,-1,DVL3
SPI1,1,CSF1R
NKD1,-1,CTNNB1
SOX10,1,TYR
SOX10,1,GJC2
DAPK1,1,MARK1
SOX10,1,SOX6
DAPK1,1,MARK2
DAPK1,-1,PIN1
E2F1,1,RPA2
E2F1,1,POLA1
NOTCH1,1,RBPJ
CRKL,1,MAP4K1
JUN,1,SMAD4
SMAD3,1,JUN
ARHGAP32,1,CDC42
NCOA2,1,AR
PRKCQ,1,CHUK
PTPRC,-1,LYN
NFKB2,1,RELB
EGFR,1,STAT5B
EGFR,1,STAT1
LCK,1,CBL
JAG1,1,NOTCH2
JAG1,1,NOTCH3
F2R,1,GNA13
RAD50,1,RINT1
FZD8,1,LRP5
FZD8,1,LRP6
CBL,-1,PLCG1
CBL,-1,PIK3R2
CBL,-1,PIK3R1
ATG3,1,GABARAP
ATG3,1,GABARAPL2
IL6ST,1,SHC1
CBL,-1,KIT
ABRAXAS1,1,BRCA1
PPP6C,-1,MAP3K7
PPP2CA,-1,MAP3K7
YAP1,1,SMAD7
SHH,1,PTCH2
SHC1,1,INPP5D
WNT4,1,FZD6
MAPK8,1,H2AX
JAG2,1,NOTCH2
JAG2,1,NOTCH3
SMAD2,1,MEF2A
DAXX,1,TGFBR2
PTCH2,1,SMO
AXIN1,1,MAP3K1
AXIN1,1,MAP3K4
FRS2,1,PTPN11
WNT1,1,LRP6
KCNQ3,1,KCNQ2
KCNQ2,1,KCNQ3
WNT1,1,RYK
UBR2,1,RECQL4
IL6,1,IL6R
VAV1,1,PRKCQ
SUFU,1,STK36
BTRC,-1,NFKBIA
CD247,1,ZAP70
KMT2A,1,KAT8
GABARAPL1,1,SQSTM1
NFKB1,1,RELA
TGFB3,1,TGFBR2
TGFB3,1,TGFBR3
LYN,1,PLCG2
DUSP16,-1,MAPK14
ZIC1,1,GLI1
MAX,1,MGA
FYCO1,1,MAP1LC3A
SYK,1,VAV2
VAV1,1,SYK
ITCH,1,NOTCH1
CRKL,1,RAPGEF1
SMO,1,ARRB2
TGFB2,1,TGFBR3
TGFB2,1,TGFBR2
SOCS6,-1,KIT
SMAD3,1,NOTCH1
TGFB2,1,TGFBR1
CARD11,1,MALT1
RRM2B,1,RRM1
PLCG1,1,VAV3
ROR2,1,FLNA
CBX1,1,H3-4
EID2,-1,SMAD3
WNT3A,1,RYK
CRKL,1,NEDD9
NEDD9,1,CRKL
LYN,1,PTK2
ID2,-1,MYOD1
BECN1,1,ZWINT
CD3E,1,NCK1
CR2,1,CD19
ERCC8,-1,ERCC6
CRKL,1,BCAR1
BCAR1,1,CRKL
BCAR1,1,CRK
CTNNB1,1,LEF1
ABI1,1,CBL
LCK,1,SH2D2A
CXCL11,1,CXCR3
LCP2,1,PLCG1
ATF2,1,JUN
ERBB2,1,PIK3R1
IKBKG,1,CHUK
FRS2,1,GRB2
CTNND1,1,CDH1
CDH1,1,CTNNA1
NUMB,1,ITCH
CTNND2,1,CDH2
CDH2,1,CTNNB1
FOS,1,JUN
MEN1,1,FANCD2
PTPN22,-1,CBL
SMAD3,1,AR
TGFBR1,1,PIK3R1
TGFBR2,1,PIK3R1
CTNNB1,1,TCF7
CDK1,1,CCNB1
DAB2,1,SMAD2
DKK1,1,KREMEN1
EMSY,-1,BRCA2
TANK,1,TBK1
CDK2,1,CCNA2
DAB2,-1,DVL3
NOTCH1,1,LEF1
JAK2,1,TEC
SMAD7,1,SMURF2
GIT1,1,PLCG1
NOTCH3,1,RBPJ
NR2C2,1,AR
RAP1GDS1,1,CDC42
RBPJ,1,CIR1
WNT3A,1,FZD1
DUSP10,-1,MAPK14
LAT,1,PLCG1
MAML2,1,NOTCH4
MAML2,1,NOTCH3
MAML2,1,NOTCH2
MAML2,1,NOTCH1
SH2B2,1,CBL
TLE1,1,SIX3
FYN,1,CD79A
SMAD3,1,SMAD4
SMAD3,-1,RUNX2
MAP1LC3B,1,SQSTM1
WNT2,1,FZD1
WNT3,1,FZD1
WNT5A,1,FZD1
IKBKG,1,NFKBIA
IKBKG,1,NFKBIB
DTX1,1,NOTCH1
TCL1A,1,AKT2
CBLB,-1,KIT
LAT,1,VAV1
PTK2B,1,GRB2
MAP3K14,1,NFKB2
FZD4,1,DVL2
MAPK14,1,RPS6KA5
PTPN12,-1,PSTPIP1
NUP214,1,SMAD4
NUP214,1,SMAD3
NUP214,1,SMAD2
GRB2,1,GAB2
TRADD,1,TRAF1
DKK1,1,KREMEN2
RYK,1,FZD8
KPNB1,1,SMAD3
CD80,1,CTLA4
IL1R1,1,IRAK2
IL1R1,1,IRAK1
FANCD2,1,BRCA2
UBR1,1,RECQL4
NCOR2,1,AR
GAN,-1,ATG16L1
KIT,1,STAT1
TANK,-1,TRAF2
SRC,1,PTK2B
PSEN1,1,NOTCH1
CRK,1,CBL
DVL3,1,FRAT1
SKIL,1,SMAD2
SKIL,1,SMAD3
SKIL,1,SMAD4
NCOA2,1,PPARG
IL4R,1,IRS2
IL1RN,-1,IL1R1
PRKCQ,1,IKBKB
FOXH1,1,SMAD2
SOCS3,-1,IL6ST
HDAC9,-1,MEF2C
SMAD6,1,TGFBR1
TRAF6,1,MALT1
ARHGAP31,-1,RAC1
WNT7A,1,FZD5
SMAD1,1,DVL1
DVL1,1,SMAD3
EP300,1,SMAD7
PSEN1,1,NOTCH3
PTPN11,1,STAT3
SMAD3,1,ESR1
TRAF6,-1,ECSIT
IL2,1,IL2RG
IL2,1,IL2RB
IL2,1,IL2RA
EGFR,1,RGS16
CBLB,-1,SHC1
MET,1,GAB1
KIT,1,STAP1
TNFRSF1A,1,TRAF2
SUFU,1,SAP18
CD40,1,TRAF3
VPS39,-1,SMAD4
NOTCH1,1,SNW1
IL2RB,1,SHC1
BRIP1,1,BRCA1
PTPRC,1,SKAP1
MAP3K1,1,MAP2K1
IRAK1,1,PELI1
SRC,1,GAB2
CHUK,1,IKBKB
PTCH1,1,CCNB1
AR,1,CTNNB1
ATG7,1,GABARAPL2
DHH,1,PTCH2
KAT2B,1,NOTCH1
MAP3K7,1,CHUK
CRK,1,RAPGEF1
CD28,1,PIK3R2
BTRC,-1,SMAD3
BTRC,-1,SMAD4
PSEN1,1,NOTCH2
FYN,1,CBL
CCN3,1,NOTCH1
VAV1,1,MAPK1
ERBIN,1,SMAD3
ERBIN,1,SMAD2
CD19,1,VAV1
KIT,1,GRB7
UIMC1,1,BRCA1
PTPN11,-1,PIK3R2
EGFR,1,PIK3C2B
EGFR,1,PIK3R1
TGFBR2,1,ZFYVE9
EGFR,1,PLCG1
EGFR,1,PLD2
GABARAPL2,1,SQSTM1
TAX1BP1,1,TNFAIP3
YY1,-1,NOTCH1
RAC1,1,PAK2
MAPK1,-1,EGFR
PRKCA,-1,EGFR
SHC1,1,GRB2
SHC1,1,SOS1
KAT2B,1,AR
SMARCAD1,1,TRIM28
RYK,1,DVL1
IL4R,1,IRS1
RELA,-1,NCOR2
RUBCN,-1,PIK3C3
IL3,1,CSF2RB
RELA,-1,NFKBIA
RCOR1,1,REST
CD4,1,LCK
EGFR,1,PTPN1
PTPN6,-1,EGFR
SOCS1,1,JAK1
GRB2,1,SOS2
EGFR,1,NCK2
IL4R,1,JAK2
EGFR,1,RASA1
BRCA1,-1,ACACA
HDAC2,-1,YY1
TLE5,-1,SIX3
PTK2,1,RAC1
MAX,1,MNT
SMAD2,1,SMAD4
IL2RG,1,JAK1
IL2RG,1,JAK3
BRCA2,1,RAD51
WDR45,1,ATG2A
WNT3A,1,LRP6
GRB2,1,GAB1
ROR2,1,MAGED1
FYN,1,BCAR1
CNTN1,1,NOTCH1
IL1RN,1,IL1R2
CDC73,1,CTNNB1
DAB2,1,TGFBR2
DAB2,1,TGFBR1
PARD6A,1,SMURF1
NFKBIE,-1,NFKB1
NFKBIB,-1,NFKB1
MAPK14,1,MEF2D
PTPN11,-1,IRS1
MAP1LC3B,-1,NBR1
IL9R,1,JAK1
CSNK1E,1,AXIN1
DVL1,1,LRRK2
ID1,-1,TCF4
IL4R,1,IL2RG
MAP1LC3A,1,SQSTM1
TGFBR2,1,VPS39
AXIN1,1,CTNNB1
EGFR,1,ERBB2
EGFR,1,ERBB3
ID1,-1,MYOD1
MAX,1,MYC
IL5,1,IL5RA
PLK1,-1,TP53BP1
CDH10,1,CTNNB1
IL9,1,IL2RG
SKI,1,SMAD3
SKI,1,SMAD2
SKI,1,SMAD4
WNK2,1,WNK1
CD86,1,CTLA4
CRK,1,NEDD9
NEDD9,1,CRK
LAT,1,GRB2
IHH,1,PTCH2
MAPK3,1,RPS6KA2
PRKCZ,1,AKT3
TAB3,1,MAP3K7
IL1B,-1,IL1R2
RBPJ,1,NCOR2
PTPN11,-1,SIRPA
NGF,1,NGFR
TRAF2,1,TRAF1
TRAF1,1,TRAF2
MYC,1,SMAD3
MYC,1,SMAD2
NBR1,1,GABARAP
NOTCH2,1,RBPJ
ZFYVE9,1,TGFBR1
RING1,1,FHL1
JAK3,1,PTK2B
TGFBR1,1,VPS39
BTRC,1,CTNNB1
CDK1,-1,RB1
PTK2,1,PXN
IRS1,1,PIK3R1
HRAS,1,RAF1
DVL1,-1,AXIN1
DVL2,1,AXIN1
CBLB,-1,GRB2
CARM1,1,EP300
NCOR2,1,SNW1
IL3,1,IL3RA
NR3C1,1,AR
AR,1,NR3C1
IL7,1,IL7R
MAPK3,1,PTPRR
SNIP1,1,SMAD4
SRC,1,RAF1
CRK,1,MAP4K1
ERBB2,1,SHC1
UCHL5,1,SMAD7
KIT,1,PTPN11
NR0B2,1,AR
MAPK1,1,PTPRR
SNW1,1,RBPJ
SPEN,-1,RBPJ
PSEN1,1,NOTCH4
SRC,1,STAT1
ICOSLG,1,ICOS
PTPN11,1,GRB2
NOTCH4,1,RBPJ
MAML3,1,NOTCH4
MAML3,1,NOTCH3
MAML3,1,NOTCH2
SYK,1,PLCG2
MAML3,1,NOTCH1
SHC1,1,GRAP
CDK7,-1,AR
GRB2,1,INPP5D
TLE5,-1,SIX6
PLCG1,1,SOS1
IRS1,1,GRB2
KIT,1,PIK3R1
SUFU,1,GLI2
FYN,1,KIT
PTPN11,-1,PIK3R1
NUP153,1,SMAD2
NUP153,1,SMAD3
ATG7,1,MAP1LC3A
KAT2B,1,SMAD3
MAP1LC3C,1,ATG3
MAPK1,1,RPS6KA2
SRC,1,PLCG1
PSEN1,-1,CTNNB1
FHL2,1,AR
WDR45,1,ATG2B
MAML1,1,NOTCH4
MAML1,1,NOTCH2
MAML1,1,NOTCH3
MAML1,1,NOTCH1
MEN1,-1,RELA
GRAP,1,SOS1
SMAD7,1,TGFBR1
HECW1,-1,DVL1
MAP1LC3A,1,ATG3
ARHGAP33,-1,RAC1
PTPN11,-1,GAB1
IL1A,1,IL1R2
NBR1,1,GABARAPL1
IRAK1,1,TRAF6
WNT1,1,LRP5
TGFBR1,1,PARD6A
TGFB1,1,TGFBR2
TGFB1,1,TGFBR3
TGFB1,1,TGFBR1
SOCS1,1,JAK2
MAPK3,1,GAB1
MAPK1,1,GAB1
EGFR,1,NCK1
CBL,-1,ZAP70
IL1RAP,-1,TOLLIP
IL9,1,IL9R
VAV1,1,GRB2
RASSF5,1,RASSF1
DTX1,1,EP300
RIPK1,1,IKBKG
DLL1,1,NOTCH2
DLL1,1,NOTCH3
VAV1,1,RAC1
SMAD4,1,LEF1
SMAD3,1,LEF1
SMAD2,1,LEF1
SLX4,1,ERCC4
DIXDC1,1,DVL1
LRP5,1,AXIN1
LRP6,1,AXIN1
NCOA4,1,AR
GRB2,1,MAP4K1
KIT,1,JAK2
DLL4,1,NOTCH4
GAB1,1,PLCG1
MAP4K1,1,MAP3K7
SH3KBP1,1,CBL
HCK,1,CBL
LCK,1,KIT
IL6ST,1,JAK2
ID3,-1,TCF4
ID3,-1,TCF12
PCNA,1,POLE_POLE2_POLE3_POLE4
ARRB1,1,DVL2
ANAPC2,-1,DVL1
CARD18,-1,CARD8
